Date,Price,Open,High,Low,Vol.,Change %
12/22/2023,"9,325","9,275","9,350","9,275",64.45M,0.00%
12/21/2023,"9,325","9,300","9,325","9,250",88.12M,0.27%
12/20/2023,"9,300","9,250","9,300","9,225",72.94M,0.54%
12/19/2023,"9,250","9,125","9,250","9,125",87.54M,0.54%
12/18/2023,"9,200","9,200","9,225","9,150",111.71M,-0.27%
12/15/2023,"9,225","9,125","9,225","9,075",275.01M,1.93%
12/14/2023,"9,050","8,775","9,050","8,750",139.38M,4.32%
12/13/2023,"8,675","8,700","8,750","8,675",51.56M,-0.29%
12/12/2023,"8,700","8,700","8,750","8,700",87.59M,-0.57%
12/11/2023,"8,750","8,675","8,775","8,675",78.64M,0.00%
12/08/2023,"8,750","8,800","8,850","8,750",43.89M,-0.85%
12/07/2023,"8,825","8,750","8,825","8,725",91.32M,0.28%
12/06/2023,"8,800","8,850","8,950","8,800",81.85M,-1.12%
12/05/2023,"8,900","8,950","8,950","8,825",94.36M,-0.28%
12/04/2023,"8,925","8,950","9,025","8,925",54.75M,-0.28%
12/01/2023,"8,950","8,925","8,975","8,900",80.57M,-0.28%
11/30/2023,"8,975","8,925","8,975","8,900",205.31M,0.84%
11/29/2023,"8,900","8,900","8,950","8,900",54.72M,0.28%
11/28/2023,"8,875","8,875","8,950","8,850",69.07M,0.00%
11/27/2023,"8,875","8,900","8,950","8,875",35.68M,-0.56%
11/24/2023,"8,925","8,925","8,975","8,900",51.62M,0.00%
11/23/2023,"8,925","8,850","8,975","8,850",55.54M,0.56%
11/22/2023,"8,875","8,775","8,875","8,775",40.36M,1.14%
11/21/2023,"8,775","8,825","8,900","8,775",107.61M,-1.13%
11/20/2023,"8,875","8,975","9,025","8,875",73.54M,-2.20%
11/17/2023,"9,075","9,025","9,075","8,975",57.05M,0.00%
11/16/2023,"9,075","9,050","9,075","8,950",80.28M,0.28%
11/15/2023,"9,050","8,975","9,050","8,950",84.98M,1.40%
11/14/2023,"8,925","8,900","8,950","8,875",37.20M,0.56%
11/13/2023,"8,875","8,875","8,925","8,850",32.72M,0.57%
11/10/2023,"8,825","8,950","9,000","8,825",50.75M,-1.94%
11/09/2023,"9,000","8,900","9,050","8,900",46.08M,0.00%
11/08/2023,"9,000","8,950","9,000","8,900",31.83M,0.28%
11/07/2023,"8,975","9,000","9,025","8,900",60.65M,-0.83%
11/06/2023,"9,050","8,975","9,050","8,950",84.99M,1.69%
11/03/2023,"8,900","8,925","8,950","8,850",60.41M,0.56%
11/02/2023,"8,850","8,725","8,900","8,725",56.05M,2.91%
11/01/2023,"8,600","8,750","8,775","8,600",67.03M,-1.71%
10/31/2023,"8,750","8,800","8,825","8,725",64.91M,-1.13%
10/30/2023,"8,850","8,700","8,850","8,700",51.96M,1.72%
10/27/2023,"8,700","8,725","8,800","8,700",52.45M,-0.29%
10/26/2023,"8,725","8,925","8,950","8,725",63.20M,-1.69%
10/25/2023,"8,875","8,825","8,925","8,825",54.75M,1.14%
10/24/2023,"8,775","8,775","8,875","8,775",76.96M,-0.85%
10/23/2023,"8,850","8,875","8,925","8,850",50.63M,-1.39%
10/20/2023,"8,975","8,725","9,025","8,725",80.33M,2.57%
10/19/2023,"8,750","8,825","8,850","8,750",89.51M,-1.13%
10/18/2023,"8,850","8,925","8,950","8,850",70.86M,-1.12%
10/17/2023,"8,950","9,050","9,075","8,950",59.61M,-1.65%
10/16/2023,"9,100","9,125","9,125","9,050",37.60M,0.28%
10/13/2023,"9,075","9,100","9,125","9,025",62.94M,0.28%
10/12/2023,"9,050","9,000","9,100","9,000",71.06M,1.40%
