Date,Price,Open,High,Low,Vol.,Change %
10/11/2021,"3,450","3,450","3,463","3,400",123.02M,0.00%
10/08/2021,"3,450","3,363","3,488","3,363",223.59M,2.99%
10/07/2021,"3,350","3,325","3,413","3,313",253.20M,1.52%
10/06/2021,"3,300","3,238","3,338","3,225",168.78M,2.72%
10/05/2021,"3,213","3,225","3,275","3,188",94.89M,-0.77%
10/04/2021,"3,238","3,088","3,250","3,075",156.69M,6.15%
10/01/2021,"3,050","3,075","3,100","3,025",74.98M,-0.81%
09/30/2021,"3,075","3,025","3,075","3,000",82.81M,2.50%
09/29/2021,"3,000","2,975","3,025","2,963",56.47M,0.84%
09/28/2021,"2,975","2,975","3,013","2,950",64.65M,0.85%
09/27/2021,"2,950","3,000","3,013","2,950",68.50M,-1.26%
09/24/2021,"2,988","3,038","3,050","2,963",50.28M,-1.65%
09/23/2021,"3,038","3,063","3,063","3,013",40.61M,0.00%
09/22/2021,"3,038","2,988","3,050","2,975",26.71M,1.67%
09/21/2021,"2,988","3,013","3,013","2,963",45.15M,-0.83%
09/20/2021,"3,013","3,013","3,038","2,963",57.57M,-0.41%
09/17/2021,"3,025","3,063","3,075","3,025",82.45M,-1.63%
09/16/2021,"3,075","3,088","3,100","3,063",61.34M,0.41%
09/15/2021,"3,063","3,088","3,100","3,050",135.50M,0.41%
09/14/2021,"3,050","3,075","3,100","3,038",84.93M,-0.81%
09/13/2021,"3,075","3,050","3,113","3,025",104.81M,-0.81%
09/10/2021,"3,100","3,138","3,150","3,088",107.58M,-2.36%
09/09/2021,"3,175","3,150","3,175","3,063",93.33M,1.60%
09/08/2021,"3,125","3,150","3,150","3,063",84.66M,0.00%
09/07/2021,"3,125","3,125","3,175","3,113",70.45M,0.81%
09/06/2021,"3,100","3,100","3,163","3,063",51.68M,1.22%
09/03/2021,"3,063","3,050","3,075","3,000",50.76M,1.24%
09/02/2021,"3,025","3,025","3,050","2,988",51.55M,0.83%
09/01/2021,"3,000","3,050","3,050","3,000",70.08M,-1.64%
08/31/2021,"3,050","3,000","3,050","2,975",135.70M,2.52%
08/30/2021,"2,975","2,925","2,975","2,913",65.06M,2.59%
08/27/2021,"2,900","2,913","2,938","2,888",35.77M,-0.43%
08/26/2021,"2,913","2,925","2,963","2,913",55.05M,-2.10%
08/25/2021,"2,975","2,938","2,988","2,925",60.73M,2.15%
08/24/2021,"2,913","2,975","2,988","2,900",85.22M,-2.51%
08/23/2021,"2,988","2,950","3,000","2,950",46.35M,1.27%
08/20/2021,"2,950","2,950","2,975","2,900",62.84M,0.85%
08/19/2021,"2,925","3,050","3,050","2,900",101.98M,-3.31%
08/18/2021,"3,025","3,000","3,088","2,963",141.23M,1.26%
08/16/2021,"2,988","3,000","3,025","2,925",53.07M,-0.42%
08/13/2021,"3,000","2,988","3,025","2,950",41.77M,1.27%
08/12/2021,"2,963","2,938","2,975","2,913",51.33M,2.16%
08/10/2021,"2,900","2,900","2,938","2,888",54.89M,0.00%
08/09/2021,"2,900","3,000","3,013","2,900",50.32M,-2.93%
08/06/2021,"2,988","3,038","3,050","2,975",63.68M,-1.24%
08/05/2021,"3,025","2,938","3,038","2,925",140.25M,3.86%
08/04/2021,"2,913","2,913","2,950","2,888",67.41M,0.87%
08/03/2021,"2,888","2,850","2,900","2,825",70.96M,1.76%
08/02/2021,"2,838","2,888","2,888","2,813",68.57M,-0.44%
07/30/2021,"2,850","2,913","2,913","2,850",92.13M,-0.87%
07/29/2021,"2,875","2,950","2,950","2,875",68.17M,-2.54%
07/28/2021,"2,950","2,875","2,950","2,875",41.27M,1.29%
07/27/2021,"2,913","2,925","2,950","2,875",79.28M,0.43%
07/26/2021,"2,900","2,988","3,000","2,900",77.16M,-2.93%
07/23/2021,"2,988","3,000","3,025","2,975",37.46M,-1.24%
07/22/2021,"3,025","2,988","3,050","2,975",55.17M,2.11%
07/21/2021,"2,963","2,913","2,975","2,900",87.10M,3.04%
07/19/2021,"2,875","2,900","2,925","2,875",31.46M,-2.13%
07/16/2021,"2,938","2,938","2,950","2,913",39.57M,0.00%
07/15/2021,"2,938","2,863","2,950","2,838",94.44M,3.07%
07/14/2021,"2,850","2,900","2,913","2,825",59.23M,-1.30%
07/13/2021,"2,888","2,925","2,950","2,888",65.12M,-0.43%
07/12/2021,"2,900","2,938","2,938","2,888",39.69M,0.43%
07/09/2021,"2,888","2,950","2,950","2,888",50.82M,-2.12%
07/08/2021,"2,950","2,925","2,950","2,875",81.46M,2.61%
07/07/2021,"2,875","2,888","2,913","2,838",96.69M,-0.43%
07/06/2021,"2,888","2,950","2,950","2,875",56.07M,-1.28%
07/05/2021,"2,925","2,988","2,988","2,900",29.24M,-1.68%
07/02/2021,"2,975","2,988","3,013","2,963",80.42M,-0.42%
07/01/2021,"2,988","2,975","3,000","2,950",87.39M,1.27%
06/30/2021,"2,950","2,925","2,975","2,900",146.56M,2.16%
06/29/2021,"2,888","2,925","2,925","2,850",96.97M,1.32%
06/28/2021,"2,850","2,913","2,950","2,838",127.11M,-3.39%
06/25/2021,"2,950","3,000","3,013","2,950",61.05M,-1.26%
06/24/2021,"2,988","3,050","3,050","2,988",52.25M,-0.83%
06/23/2021,"3,013","3,113","3,113","3,013",66.07M,-2.43%
06/22/2021,"3,088","3,038","3,125","3,013",96.68M,2.49%
06/21/2021,"3,013","3,050","3,050","2,975",138.95M,-2.82%
06/18/2021,"3,100","3,088","3,100","2,975",201.34M,0.00%
06/17/2021,"3,100","3,125","3,138","3,100",146.52M,-1.20%
06/16/2021,"3,138","3,163","3,175","3,100",90.05M,-0.79%
06/15/2021,"3,163","3,150","3,163","3,113",107.19M,0.80%
06/14/2021,"3,138","3,150","3,150","3,113",50.04M,0.00%
06/11/2021,"3,138","3,138","3,150","3,113",77.76M,1.21%
06/10/2021,"3,100","3,088","3,125","3,063",43.54M,0.81%
06/09/2021,"3,075","3,038","3,088","3,000",47.08M,2.50%
06/08/2021,"3,000","3,075","3,075","3,000",57.08M,-2.04%
06/07/2021,"3,063","3,100","3,100","3,038",42.51M,0.00%
06/04/2021,"3,063","3,125","3,163","3,063",76.31M,-2.00%
06/03/2021,"3,125","3,088","3,138","3,063",86.43M,2.46%
06/02/2021,"3,050","3,075","3,100","3,038",157.34M,1.67%
05/31/2021,"3,000","2,938","3,050","2,913",96.66M,3.45%
05/28/2021,"2,900","2,913","2,950","2,888",78.31M,0.87%
05/27/2021,"2,875","3,000","3,000","2,875",353.89M,-2.54%
